Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Ease of Online booking,Food and drink,satisfaction
Loyal Customer,47,Personal Travel,Eco,302,4,4,2,satisfied
disloyal Customer,41,Business travel,Business,354,1,1,1,neutral or dissatisfied
Loyal Customer,39,Business travel,Business,1734,4,4,3,satisfied
disloyal Customer,25,Business travel,Business,1452,3,3,3,neutral or dissatisfied
Loyal Customer,41,Business travel,Business,296,0,0,2,satisfied
Loyal Customer,38,Business travel,Business,2882,3,3,2,satisfied
Loyal Customer,50,Business travel,Business,460,1,1,3,satisfied
Loyal Customer,29,Business travel,Business,529,1,1,5,satisfied
Loyal Customer,22,Personal Travel,Business,349,2,2,4,neutral or dissatisfied
Loyal Customer,13,Business travel,Business,1522,1,1,1,neutral or dissatisfied
Loyal Customer,54,Business travel,Business,612,3,3,5,satisfied
Loyal Customer,21,Personal Travel,Eco,1454,2,2,5,neutral or dissatisfied
Loyal Customer,28,Business travel,Eco,731,2,1,2,neutral or dissatisfied
Loyal Customer,27,Business travel,Business,2076,3,3,4,satisfied
Loyal Customer,69,Business travel,Eco,309,5,5,1,satisfied
Loyal Customer,35,Personal Travel,Eco,775,2,2,4,neutral or dissatisfied
Loyal Customer,60,Personal Travel,Eco,861,2,2,1,neutral or dissatisfied
Loyal Customer,45,Business travel,Business,3334,2,2,4,satisfied
Loyal Customer,57,Business travel,Business,2496,0,0,3,satisfied
Loyal Customer,40,Business travel,Business,602,5,5,2,satisfied
disloyal Customer,38,Business travel,Business,308,3,3,4,neutral or dissatisfied
disloyal Customer,23,Business travel,Eco,446,2,2,4,neutral or dissatisfied
disloyal Customer,39,Business travel,Business,216,2,2,3,neutral or dissatisfied
Loyal Customer,52,Business travel,Business,3475,2,2,4,satisfied
disloyal Customer,25,Business travel,Eco,646,2,2,4,neutral or dissatisfied
Loyal Customer,48,Business travel,Business,2501,3,3,5,satisfied
Loyal Customer,59,Business travel,Business,2227,5,5,2,satisfied
Loyal Customer,25,Business travel,Business,1426,3,3,4,satisfied
Loyal Customer,38,Personal Travel,Eco,190,2,2,4,neutral or dissatisfied
Loyal Customer,46,Business travel,Business,1532,2,2,2,satisfied
Loyal Customer,50,Business travel,Eco,308,2,1,2,neutral or dissatisfied
Loyal Customer,38,Business travel,Eco Plus,157,4,4,4,satisfied
Loyal Customer,53,Business travel,Business,1506,4,4,3,satisfied
Loyal Customer,30,Business travel,Eco Plus,205,3,2,3,neutral or dissatisfied
disloyal Customer,39,Business travel,Business,895,2,2,5,neutral or dissatisfied
Loyal Customer,66,Personal Travel,Eco Plus,516,1,1,2,neutral or dissatisfied
Loyal Customer,45,Personal Travel,Eco,909,3,3,1,neutral or dissatisfied
disloyal Customer,25,Business travel,Business,1435,5,5,1,satisfied
Loyal Customer,52,Business travel,Business,1190,2,4,1,neutral or dissatisfied
Loyal Customer,64,Personal Travel,Eco,1259,4,4,2,satisfied
disloyal Customer,50,Business travel,Eco,216,4,4,4,neutral or dissatisfied
disloyal Customer,41,Business travel,Business,1670,2,1,3,neutral or dissatisfied
Loyal Customer,26,Business travel,Business,3960,1,1,4,satisfied
disloyal Customer,25,Business travel,Eco,817,4,4,3,neutral or dissatisfied
disloyal Customer,44,Business travel,Business,1670,3,3,5,neutral or dissatisfied
disloyal Customer,21,Business travel,Business,861,4,4,1,satisfied
Loyal Customer,47,Business travel,Business,406,2,2,3,satisfied
Loyal Customer,31,Business travel,Eco Plus,404,4,4,4,satisfied
Loyal Customer,57,Personal Travel,Eco Plus,500,3,3,3,neutral or dissatisfied
Loyal Customer,44,Personal Travel,Eco,689,3,3,5,neutral or dissatisfied
Loyal Customer,45,Business travel,Business,3100,3,3,1,satisfied
disloyal Customer,13,Business travel,Eco,525,2,2,3,neutral or dissatisfied
Loyal Customer,60,Personal Travel,Eco,931,0,0,4,satisfied
disloyal Customer,41,Business travel,Business,304,5,5,2,satisfied
Loyal Customer,30,Business travel,Business,1896,4,1,4,neutral or dissatisfied
Loyal Customer,51,Business travel,Eco Plus,261,5,4,4,satisfied
Loyal Customer,61,Business travel,Eco,347,2,5,5,satisfied
Loyal Customer,32,Business travel,Eco,1042,4,1,4,satisfied
Loyal Customer,39,Personal Travel,Eco,1773,4,4,5,neutral or dissatisfied
Loyal Customer,19,Personal Travel,Business,342,3,3,3,neutral or dissatisfied
Loyal Customer,15,Personal Travel,Eco Plus,297,1,1,5,neutral or dissatisfied
disloyal Customer,42,Business travel,Business,883,3,3,3,satisfied
Loyal Customer,16,Personal Travel,Eco,332,2,2,3,neutral or dissatisfied
Loyal Customer,19,Business travel,Business,2388,5,5,4,satisfied
Loyal Customer,29,Personal Travel,Eco,748,2,2,5,neutral or dissatisfied
disloyal Customer,27,Business travel,Eco Plus,1080,3,3,3,neutral or dissatisfied
disloyal Customer,22,Business travel,Business,231,5,5,5,satisfied
Loyal Customer,15,Personal Travel,Eco,551,3,3,4,neutral or dissatisfied
disloyal Customer,11,Business travel,Eco,972,1,1,1,neutral or dissatisfied
Loyal Customer,34,Personal Travel,Eco,265,4,4,5,neutral or dissatisfied
disloyal Customer,26,Business travel,Eco,488,2,2,1,neutral or dissatisfied
Loyal Customer,26,Personal Travel,Eco,1144,3,2,4,neutral or dissatisfied
Loyal Customer,53,Business travel,Business,2332,5,5,5,satisfied
Loyal Customer,36,Business travel,Business,3024,4,2,1,neutral or dissatisfied
Loyal Customer,32,Business travel,Business,1750,1,4,1,neutral or dissatisfied
Loyal Customer,20,Personal Travel,Eco,483,2,2,5,neutral or dissatisfied
Loyal Customer,35,Business travel,Business,2128,2,2,1,satisfied
Loyal Customer,15,Personal Travel,Eco,235,2,2,1,neutral or dissatisfied
Loyal Customer,52,Personal Travel,Eco,689,2,2,3,neutral or dissatisfied
Loyal Customer,45,Business travel,Business,1852,1,1,5,satisfied
disloyal Customer,24,Business travel,Eco,372,4,4,3,neutral or dissatisfied
Loyal Customer,46,Business travel,Business,3705,4,3,4,neutral or dissatisfied
disloyal Customer,26,Business travel,Eco,416,3,3,1,neutral or dissatisfied
Loyal Customer,28,Business travel,Eco,337,4,1,4,neutral or dissatisfied
Loyal Customer,11,Personal Travel,Eco,335,1,1,3,neutral or dissatisfied
Loyal Customer,45,Business travel,Business,1400,5,5,2,satisfied
Loyal Customer,62,Personal Travel,Eco,2521,4,4,4,neutral or dissatisfied
Loyal Customer,34,Business travel,Business,374,3,3,4,satisfied
Loyal Customer,51,Business travel,Business,308,2,2,4,satisfied
Loyal Customer,58,Business travel,Eco Plus,575,1,4,2,neutral or dissatisfied
Loyal Customer,22,Personal Travel,Eco,618,3,3,3,neutral or dissatisfied
Loyal Customer,8,Business travel,Eco,1304,4,4,4,satisfied
disloyal Customer,26,Business travel,Business,351,4,4,2,satisfied
Loyal Customer,22,Personal Travel,Eco,549,4,4,3,neutral or dissatisfied
Loyal Customer,21,Business travel,Business,3510,3,1,3,neutral or dissatisfied
Loyal Customer,31,Business travel,Business,1620,3,4,3,neutral or dissatisfied
Loyal Customer,44,Personal Travel,Eco,326,2,2,2,neutral or dissatisfied
Loyal Customer,27,Business travel,Business,588,2,2,5,satisfied
Loyal Customer,47,Business travel,Business,1020,3,3,2,satisfied
Loyal Customer,24,Business travel,Business,2903,3,3,3,neutral or dissatisfied
Loyal Customer,67,Business travel,Business,2659,1,1,1,neutral or dissatisfied
Loyal Customer,32,Business travel,Business,3037,2,2,4,satisfied
Loyal Customer,58,Personal Travel,Eco,2475,4,4,4,satisfied
Loyal Customer,12,Personal Travel,Eco,978,4,4,1,neutral or dissatisfied
Loyal Customer,56,Business travel,Business,2568,3,1,5,neutral or dissatisfied
Loyal Customer,58,Personal Travel,Business,371,3,5,2,neutral or dissatisfied
disloyal Customer,24,Business travel,Eco,791,3,3,5,neutral or dissatisfied
Loyal Customer,68,Personal Travel,Eco,480,3,3,5,neutral or dissatisfied
Loyal Customer,46,Business travel,Business,1786,1,1,3,satisfied
Loyal Customer,43,Business travel,Business,1849,2,2,2,satisfied
Loyal Customer,55,Business travel,Business,3634,0,0,4,satisfied
Loyal Customer,54,Personal Travel,Business,844,4,5,2,neutral or dissatisfied
Loyal Customer,42,Business travel,Business,3094,5,5,4,satisfied
Loyal Customer,47,Business travel,Business,3465,1,3,3,neutral or dissatisfied
disloyal Customer,29,Business travel,Business,1035,1,1,5,neutral or dissatisfied
Loyal Customer,36,Business travel,Eco,237,2,4,2,neutral or dissatisfied
Loyal Customer,50,Business travel,Business,3175,4,4,2,satisfied
Loyal Customer,31,Personal Travel,Eco,760,4,4,1,neutral or dissatisfied
Loyal Customer,13,Personal Travel,Eco,853,1,1,4,neutral or dissatisfied
disloyal Customer,24,Business travel,Eco,446,3,4,5,neutral or dissatisfied
Loyal Customer,60,Business travel,Business,1071,2,2,4,satisfied
Loyal Customer,42,Personal Travel,Eco,728,2,2,5,neutral or dissatisfied
Loyal Customer,57,Business travel,Business,2585,2,2,4,satisfied
Loyal Customer,42,Business travel,Business,707,2,4,2,satisfied
disloyal Customer,20,Business travel,Eco,861,0,0,2,satisfied
Loyal Customer,51,Personal Travel,Eco,719,3,2,3,neutral or dissatisfied
Loyal Customer,45,Business travel,Business,1790,2,2,2,satisfied
Loyal Customer,26,Business travel,Eco Plus,680,5,5,5,satisfied
disloyal Customer,26,Business travel,Eco,888,2,2,5,neutral or dissatisfied
Loyal Customer,24,Personal Travel,Eco,1660,2,2,3,neutral or dissatisfied
Loyal Customer,49,Business travel,Eco,578,5,1,5,satisfied
Loyal Customer,17,Business travel,Eco,606,5,4,5,satisfied
Loyal Customer,39,Business travel,Business,1487,3,3,4,satisfied
Loyal Customer,49,Business travel,Business,317,0,1,3,satisfied
Loyal Customer,48,Personal Travel,Eco,844,3,4,4,neutral or dissatisfied
Loyal Customer,52,Business travel,Business,3747,5,5,2,satisfied
Loyal Customer,25,Business travel,Business,2748,4,4,3,satisfied
Loyal Customer,16,Business travel,Business,1503,3,5,3,neutral or dissatisfied
Loyal Customer,58,Business travel,Business,1717,1,1,2,satisfied
disloyal Customer,8,Business travel,Business,1117,4,4,3,neutral or dissatisfied
Loyal Customer,42,Business travel,Business,1372,3,5,4,satisfied
Loyal Customer,52,Business travel,Business,2768,4,1,2,neutral or dissatisfied
Loyal Customer,47,Business travel,Eco,370,5,3,2,satisfied
Loyal Customer,69,Personal Travel,Eco,1546,1,1,4,neutral or dissatisfied
Loyal Customer,47,Personal Travel,Eco,1023,2,3,5,neutral or dissatisfied
Loyal Customer,41,Business travel,Business,3636,1,1,3,satisfied
Loyal Customer,40,Personal Travel,Eco,1325,4,4,1,neutral or dissatisfied
Loyal Customer,56,Personal Travel,Eco,2556,1,1,3,neutral or dissatisfied
Loyal Customer,41,Business travel,Business,1052,2,2,4,satisfied
Loyal Customer,40,Business travel,Eco,773,3,4,3,neutral or dissatisfied
Loyal Customer,12,Personal Travel,Business,817,2,2,1,neutral or dissatisfied
Loyal Customer,59,Personal Travel,Eco,516,4,3,1,satisfied
Loyal Customer,21,Personal Travel,Eco,447,1,1,2,neutral or dissatisfied
Loyal Customer,12,Personal Travel,Eco,462,2,2,2,neutral or dissatisfied
Loyal Customer,31,Business travel,Eco,361,1,5,1,neutral or dissatisfied
Loyal Customer,37,Personal Travel,Eco,125,3,3,2,neutral or dissatisfied
Loyal Customer,38,Personal Travel,Eco,271,4,5,2,satisfied
Loyal Customer,45,Personal Travel,Eco,173,2,0,2,neutral or dissatisfied
Loyal Customer,43,Business travel,Business,1950,3,3,4,satisfied
Loyal Customer,52,Personal Travel,Eco,719,1,2,3,neutral or dissatisfied
Loyal Customer,57,Business travel,Business,153,3,4,5,neutral or dissatisfied
Loyal Customer,13,Personal Travel,Business,337,2,2,1,neutral or dissatisfied
Loyal Customer,45,Business travel,Business,3732,5,5,5,satisfied
Loyal Customer,43,Business travel,Business,3854,5,5,5,satisfied
Loyal Customer,53,Business travel,Eco,977,2,2,2,neutral or dissatisfied
Loyal Customer,23,Business travel,Business,3073,4,1,5,satisfied
Loyal Customer,16,Personal Travel,Eco,1379,2,2,2,neutral or dissatisfied
Loyal Customer,23,Business travel,Eco,631,2,2,2,neutral or dissatisfied
Loyal Customer,45,Personal Travel,Eco,666,2,2,4,neutral or dissatisfied
Loyal Customer,46,Business travel,Business,2820,2,2,2,satisfied
Loyal Customer,49,Personal Travel,Eco,577,2,2,3,neutral or dissatisfied
Loyal Customer,40,Business travel,Business,2808,4,3,3,neutral or dissatisfied
Loyal Customer,19,Business travel,Business,2172,5,5,4,satisfied
Loyal Customer,48,Personal Travel,Eco,1192,4,4,4,neutral or dissatisfied
Loyal Customer,64,Business travel,Business,1773,2,3,5,neutral or dissatisfied
Loyal Customer,38,Business travel,Eco,109,5,3,5,satisfied
Loyal Customer,23,Personal Travel,Eco,1749,2,1,3,neutral or dissatisfied
Loyal Customer,38,Business travel,Business,3753,2,2,1,satisfied
Loyal Customer,41,Personal Travel,Eco,214,1,1,2,neutral or dissatisfied
Loyal Customer,29,Personal Travel,Eco,1020,1,1,1,neutral or dissatisfied
Loyal Customer,47,Business travel,Eco Plus,368,5,2,4,satisfied
Loyal Customer,50,Personal Travel,Eco Plus,1448,2,2,4,neutral or dissatisfied
Loyal Customer,18,Personal Travel,Eco,1127,2,2,3,neutral or dissatisfied
Loyal Customer,20,Personal Travel,Eco,545,2,2,5,neutral or dissatisfied
Loyal Customer,41,Business travel,Business,3238,2,2,5,satisfied
Loyal Customer,12,Personal Travel,Eco,2466,2,2,1,neutral or dissatisfied
Loyal Customer,36,Personal Travel,Eco,2715,2,2,2,neutral or dissatisfied
Loyal Customer,49,Business travel,Business,337,3,3,4,satisfied
Loyal Customer,55,Personal Travel,Eco,1608,2,2,2,neutral or dissatisfied
Loyal Customer,43,Business travel,Business,3004,3,3,2,neutral or dissatisfied
disloyal Customer,49,Business travel,Business,980,2,2,3,neutral or dissatisfied
disloyal Customer,35,Business travel,Eco,1462,1,1,3,neutral or dissatisfied
Loyal Customer,45,Business travel,Business,1521,1,3,3,satisfied
Loyal Customer,28,Business travel,Business,862,5,5,5,satisfied
Loyal Customer,60,Business travel,Business,1833,4,4,1,satisfied
Loyal Customer,35,Business travel,Business,2398,2,2,1,neutral or dissatisfied
disloyal Customer,38,Business travel,Business,349,3,3,4,neutral or dissatisfied
Loyal Customer,48,Business travel,Business,1722,4,4,4,satisfied
Loyal Customer,65,Personal Travel,Eco,578,2,3,2,neutral or dissatisfied
Loyal Customer,30,Personal Travel,Eco Plus,163,3,3,1,neutral or dissatisfied
Loyal Customer,51,Personal Travel,Eco,395,2,5,2,neutral or dissatisfied
disloyal Customer,23,Business travel,Eco,416,5,5,4,satisfied
Loyal Customer,37,Business travel,Eco,977,3,4,3,neutral or dissatisfied
Loyal Customer,23,Business travel,Business,3095,5,5,5,satisfied
Loyal Customer,32,Business travel,Business,738,4,4,4,neutral or dissatisfied
Loyal Customer,67,Personal Travel,Eco,719,3,3,1,neutral or dissatisfied
Loyal Customer,65,Personal Travel,Business,226,1,1,5,neutral or dissatisfied
Loyal Customer,48,Business travel,Business,1943,1,1,3,satisfied
Loyal Customer,60,Business travel,Business,2371,4,4,2,satisfied
Loyal Customer,31,Business travel,Business,551,3,1,3,neutral or dissatisfied
Loyal Customer,22,Business travel,Eco Plus,493,4,5,4,satisfied
disloyal Customer,27,Business travel,Eco,925,2,2,5,neutral or dissatisfied
Loyal Customer,19,Personal Travel,Eco,405,2,2,1,neutral or dissatisfied
disloyal Customer,26,Business travel,Eco,1055,3,3,4,neutral or dissatisfied
Loyal Customer,72,Business travel,Eco,305,4,3,4,neutral or dissatisfied
Loyal Customer,34,Business travel,Business,589,5,5,1,satisfied
Loyal Customer,45,Business travel,Business,1587,2,2,4,satisfied
Loyal Customer,51,Business travel,Business,3090,2,4,3,neutral or dissatisfied
disloyal Customer,26,Business travel,Eco,804,2,2,4,neutral or dissatisfied
Loyal Customer,12,Personal Travel,Eco,719,3,3,1,neutral or dissatisfied
Loyal Customer,72,Business travel,Eco Plus,67,2,3,2,neutral or dissatisfied
Loyal Customer,45,Business travel,Eco,550,4,4,4,satisfied
Loyal Customer,22,Business travel,Business,2809,2,2,5,satisfied
Loyal Customer,53,Personal Travel,Eco,552,4,4,4,neutral or dissatisfied
disloyal Customer,33,Business travel,Business,356,3,3,4,neutral or dissatisfied
Loyal Customer,46,Personal Travel,Business,119,4,4,5,neutral or dissatisfied
Loyal Customer,54,Business travel,Business,1545,2,2,5,satisfied
Loyal Customer,40,Business travel,Eco,819,4,3,4,neutral or dissatisfied
Loyal Customer,37,Business travel,Business,1801,2,3,4,neutral or dissatisfied
Loyal Customer,35,Business travel,Business,1658,2,5,1,satisfied
disloyal Customer,26,Business travel,Business,114,4,5,4,satisfied
Loyal Customer,62,Business travel,Eco,128,4,3,2,satisfied
Loyal Customer,58,Business travel,Business,813,1,1,5,satisfied
Loyal Customer,55,Personal Travel,Eco,349,2,2,2,neutral or dissatisfied
Loyal Customer,60,Business travel,Business,1508,3,1,2,neutral or dissatisfied
Loyal Customer,15,Personal Travel,Eco,89,3,3,5,neutral or dissatisfied
Loyal Customer,67,Personal Travel,Eco,157,4,4,5,neutral or dissatisfied
Loyal Customer,43,Business travel,Business,2828,0,1,5,satisfied
Loyal Customer,30,Business travel,Business,3131,1,1,5,satisfied
Loyal Customer,42,Business travel,Eco,718,5,4,3,satisfied
Loyal Customer,40,Business travel,Business,1959,3,3,4,satisfied
Loyal Customer,47,Business travel,Business,3496,2,2,2,satisfied
Loyal Customer,38,Business travel,Business,2300,4,2,4,neutral or dissatisfied
Loyal Customer,25,Personal Travel,Eco,2845,3,3,3,neutral or dissatisfied
disloyal Customer,26,Business travel,Eco,406,3,3,3,neutral or dissatisfied
Loyal Customer,66,Personal Travel,Eco,580,2,2,4,neutral or dissatisfied
Loyal Customer,69,Business travel,Eco,735,1,4,3,neutral or dissatisfied
Loyal Customer,22,Business travel,Business,1722,2,5,2,neutral or dissatisfied
Loyal Customer,8,Personal Travel,Eco Plus,1201,2,2,3,neutral or dissatisfied
disloyal Customer,37,Business travel,Business,372,5,5,4,satisfied
Loyal Customer,69,Personal Travel,Eco,1072,1,1,4,neutral or dissatisfied
Loyal Customer,28,Business travel,Eco,733,4,2,4,neutral or dissatisfied
Loyal Customer,51,Business travel,Eco Plus,1075,2,1,2,neutral or dissatisfied
Loyal Customer,46,Personal Travel,Eco,2586,3,3,3,neutral or dissatisfied
disloyal Customer,39,Business travel,Business,140,4,4,4,satisfied
disloyal Customer,21,Business travel,Eco Plus,903,4,4,1,neutral or dissatisfied
Loyal Customer,46,Business travel,Business,2423,4,4,2,satisfied
Loyal Customer,36,Business travel,Business,3130,2,2,5,satisfied
Loyal Customer,60,Business travel,Business,2198,3,3,3,satisfied
Loyal Customer,23,Business travel,Eco Plus,602,2,5,2,neutral or dissatisfied
Loyal Customer,52,Personal Travel,Eco,685,4,4,4,satisfied
Loyal Customer,36,Business travel,Eco,1208,4,5,4,satisfied
Loyal Customer,41,Business travel,Business,2789,3,2,4,satisfied
Loyal Customer,45,Business travel,Business,3305,2,2,3,satisfied
Loyal Customer,67,Personal Travel,Eco,2342,3,3,5,neutral or dissatisfied
Loyal Customer,45,Business travel,Business,3712,4,4,3,satisfied
Loyal Customer,56,Personal Travel,Eco,1431,3,3,4,neutral or dissatisfied
disloyal Customer,62,Business travel,Eco,255,3,2,2,neutral or dissatisfied
Loyal Customer,30,Business travel,Business,3720,2,1,2,neutral or dissatisfied
Loyal Customer,48,Business travel,Eco,1107,4,5,4,satisfied
Loyal Customer,32,Business travel,Business,2999,2,2,4,satisfied
Loyal Customer,30,Business travel,Business,2438,0,1,2,satisfied
disloyal Customer,40,Business travel,Business,156,1,1,4,neutral or dissatisfied
Loyal Customer,42,Business travel,Business,3665,5,5,5,satisfied
Loyal Customer,52,Business travel,Business,2917,5,5,5,satisfied
Loyal Customer,50,Business travel,Business,1235,5,5,3,satisfied
Loyal Customer,18,Personal Travel,Eco Plus,549,2,2,2,neutral or dissatisfied
Loyal Customer,30,Business travel,Business,1500,3,3,5,satisfied
disloyal Customer,26,Business travel,Eco,190,3,3,1,neutral or dissatisfied
disloyal Customer,37,Business travel,Business,468,4,4,4,satisfied
Loyal Customer,64,Personal Travel,Eco,261,1,0,1,neutral or dissatisfied
disloyal Customer,21,Business travel,Business,255,5,5,2,satisfied
Loyal Customer,52,Business travel,Business,1609,3,4,3,neutral or dissatisfied
Loyal Customer,52,Business travel,Business,413,5,5,5,satisfied
Loyal Customer,29,Personal Travel,Eco,119,2,2,5,neutral or dissatisfied
Loyal Customer,13,Personal Travel,Eco,387,2,2,1,neutral or dissatisfied
Loyal Customer,28,Business travel,Business,1087,1,3,5,satisfied
Loyal Customer,13,Personal Travel,Eco,323,2,2,2,neutral or dissatisfied
Loyal Customer,16,Personal Travel,Eco,282,2,2,5,neutral or dissatisfied
Loyal Customer,58,Business travel,Business,1721,3,3,3,satisfied
disloyal Customer,24,Business travel,Eco,347,3,3,5,neutral or dissatisfied
Loyal Customer,25,Business travel,Business,3465,2,4,2,neutral or dissatisfied
Loyal Customer,34,Personal Travel,Eco,948,2,2,4,neutral or dissatisfied
Loyal Customer,44,Business travel,Business,1707,5,5,5,satisfied
Loyal Customer,23,Personal Travel,Eco Plus,1372,3,3,1,neutral or dissatisfied
disloyal Customer,20,Business travel,Business,369,5,5,1,satisfied
Loyal Customer,8,Personal Travel,Eco,552,4,4,3,neutral or dissatisfied
Loyal Customer,26,Business travel,Eco,1188,1,5,1,neutral or dissatisfied
Loyal Customer,43,Business travel,Eco,1005,4,4,5,neutral or dissatisfied
Loyal Customer,72,Business travel,Business,1870,2,1,3,neutral or dissatisfied
Loyal Customer,48,Business travel,Eco,896,2,4,4,satisfied
Loyal Customer,27,Personal Travel,Eco,429,4,4,3,neutral or dissatisfied
Loyal Customer,25,Business travel,Business,1796,4,2,4,neutral or dissatisfied
disloyal Customer,26,Business travel,Eco,842,1,1,5,neutral or dissatisfied
disloyal Customer,16,Business travel,Business,1107,3,3,1,neutral or dissatisfied
disloyal Customer,36,Business travel,Business,327,2,2,5,neutral or dissatisfied
Loyal Customer,55,Personal Travel,Business,432,4,2,5,neutral or dissatisfied
disloyal Customer,23,Business travel,Eco,577,0,1,5,satisfied
Loyal Customer,50,Business travel,Business,1877,2,4,5,neutral or dissatisfied
Loyal Customer,45,Business travel,Business,1123,5,5,2,satisfied
Loyal Customer,57,Business travel,Business,1749,1,1,4,satisfied
Loyal Customer,50,Business travel,Business,2454,3,3,5,satisfied
Loyal Customer,42,Personal Travel,Eco,270,1,1,3,neutral or dissatisfied
Loyal Customer,34,Business travel,Business,1825,2,2,3,satisfied
disloyal Customer,17,Business travel,Eco Plus,191,1,1,4,neutral or dissatisfied
Loyal Customer,45,Business travel,Business,679,4,4,4,satisfied
Loyal Customer,59,Business travel,Business,812,2,2,4,satisfied
Loyal Customer,39,Business travel,Eco,1056,5,3,5,satisfied
Loyal Customer,28,Business travel,Business,101,2,1,2,neutral or dissatisfied
Loyal Customer,44,Personal Travel,Eco,73,2,2,4,neutral or dissatisfied
Loyal Customer,9,Personal Travel,Eco,936,5,4,4,satisfied
Loyal Customer,24,Business travel,Eco,287,1,0,5,neutral or dissatisfied
Loyal Customer,37,Personal Travel,Eco,255,3,3,3,neutral or dissatisfied
disloyal Customer,25,Business travel,Eco,317,0,0,5,satisfied
Loyal Customer,22,Business travel,Business,2027,2,2,4,satisfied
Loyal Customer,55,Business travel,Business,936,3,3,5,satisfied
Loyal Customer,53,Business travel,Eco,432,4,3,4,satisfied
Loyal Customer,46,Business travel,Business,888,3,3,5,satisfied
Loyal Customer,62,Personal Travel,Eco,1061,0,0,5,satisfied
Loyal Customer,53,Business travel,Business,216,5,4,5,satisfied
Loyal Customer,50,Business travel,Business,1814,3,3,2,satisfied
Loyal Customer,57,Business travel,Business,2993,5,5,2,satisfied
Loyal Customer,54,Business travel,Business,2632,3,3,2,satisfied
Loyal Customer,42,Business travel,Business,199,1,1,5,satisfied
Loyal Customer,17,Personal Travel,Eco,802,2,2,4,neutral or dissatisfied
Loyal Customer,53,Business travel,Business,581,1,1,3,satisfied
Loyal Customer,49,Business travel,Business,1938,2,2,3,satisfied
Loyal Customer,37,Business travel,Eco Plus,174,5,5,5,satisfied
Loyal Customer,35,Business travel,Eco,326,4,2,4,satisfied
Loyal Customer,30,Business travel,Business,1821,1,1,2,neutral or dissatisfied
Loyal Customer,16,Personal Travel,Eco,1437,1,0,5,neutral or dissatisfied
Loyal Customer,46,Business travel,Business,3995,4,4,3,satisfied
Loyal Customer,51,Business travel,Business,1488,2,3,4,neutral or dissatisfied
Loyal Customer,70,Personal Travel,Eco,1892,1,1,1,neutral or dissatisfied
disloyal Customer,26,Business travel,Business,502,2,2,5,neutral or dissatisfied
